Region,Product_Category,Size,Age,Income,Price
East,B,2312.1615383509443,18,59539.775600335066,218.5430534813131
West,A,1503.7722511862723,36,95390.72289096078,477.8214378844623
West,A,582.3382445746144,26,80456.67638019985,379.3972738151323
South,B,1184.3396471245965,33,35698.36707928365,319.3963178886665
North,C,1665.4895130926052,33,55196.976004721146,120.20838819909643
West,C,2936.2305404015974,25,39307.384064665064,120.1975341512912
South,B,2702.896667385863,17,49554.81884537818,76.13762547568976
East,C,953.5153600054762,3,97122.51023478544,439.7792655987208
East,C,2308.1898512269277,22,79368.44816224935,320.50175528444396
East,C,2842.063682536969,49,30549.653723456773,368.63266000822045
East,B,521.9815325881465,35,53020.29047097673,59.263022433111104
South,A,2302.364184177065,4,60709.12159240915,486.45943347289744
North,A,1648.3337390278932,28,72175.1000322937,424.59918836018977
South,A,2200.590490707778,13,64980.89125892553,145.55259980522428
North,A,2013.9731839294757,30,34884.092542205326,131.82123524319528
East,A,2961.6637361392536,47,66088.32280784371,132.53202943404523
West,C,1222.0385157446694,12,39118.149323715246,186.90900933179196
West,C,2465.357454673162,3,66343.98381121483,286.140394234507
West,C,1086.5997207826529,21,47224.80269804737,244.3752583889521
North,B,1589.0199438754323,40,40093.460935299016,181.05311308911885
East,C,2938.4521849185294,1,50154.60573738464,325.33380262507075
South,A,2415.3407400353817,18,36973.54549719299,112.77223729341883
West,C,1289.5531407088977,13,49878.860632386975,181.46509184084817
North,A,2048.423207729875,7,90685.28931986656,214.86282948216126
West,C,624.2302087569375,13,51501.94880144519,255.23149289766616
South,A,1165.9872915524243,17,62915.54239018421,403.3291826268561
East,C,2295.9762240090363,45,66386.58507537257,139.85320197126188
South,A,1925.2339239708124,32,42480.35315341206,281.4054972861252
East,A,1674.1821324419307,29,60924.9121294612,316.5865559879191
East,B,2227.190150039908,45,89708.67851078312,70.90268572399897
East,C,1496.1472270495651,30,35636.89516404218,323.39518335564725
West,A,565.3903613310328,11,94597.37352429063,126.73585565928119
South,C,1602.5665587889182,14,90977.94982416942,79.27321684337578
West,A,2755.322980733154,10,89908.06630840851,476.99849176399994
South,B,2641.537820785303,8,43897.99429693259,484.53441488355173
North,B,1522.4929635237822,31,63901.951896153965,413.7788066524075
